topic,subtopic,question,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,tags,tips,correction
"Programmierung","Python","Was ist ein Dictionary in Python?","Liste","Key-Value Datenstruktur","Tupel","String","B","1","Dictionary speichert Daten als Schlüssel-Wert-Paare.","python,dictionary,datenstruktur","Wie HashMap in Java","dict = {'key': 'value'}"
"Programmierung","Python","Was macht list comprehension?","Fehlerbehandlung","Kompakte Listenerstellung","Sortierung","Import","B","2","List Comprehension erstellt Listen in einer Zeile.","python,list-comprehension,syntax","[x*2 for x in range(10)]","Effizienter als Schleifen"
"Programmierung","JavaScript","Was ist der Unterschied zwischen let und var?","Kein Unterschied","let hat Block-Scope","var ist neuer","let ist global","B","2","let hat Block-Scope, var Function-Scope.","javascript,let,var","let verhindert Hoisting-Probleme","const für Konstanten"
"Programmierung","JavaScript","Was ist ein Promise?","Schleife","Asynchrone Operation","Array","Funktion","B","2","Promise repräsentiert zukünftigen Wert asynchroner Operation.","javascript,promise,async","then(), catch(), finally()","Basis für async/await"
"Programmierung","Java","Was ist der Unterschied zwischen Abstract Class und Interface?","Kein Unterschied","Abstract kann Implementierung haben","Interface ist schneller","Abstract ist neuer","B","2","Abstract Classes können teilweise Implementation haben.","java,abstract,interface","Java 8+ Interfaces mit default methods","Multiple Interfaces möglich"
"Programmierung","Java","Was ist ein Lambda-Ausdruck?","Schleife","Anonyme Funktion","Klasse","Variable","B","2","Lambda = kompakte anonyme Funktion (Java 8+).","java,lambda,functional","(x, y) -> x + y","Functional Programming"
"Programmierung","C++","Was ist ein Pointer?","Variable","Speicheradresse","Array","Funktion","B","2","Pointer speichert Adresse einer anderen Variable.","cpp,pointer,memory","int* ptr = &variable","Dereferenzierung mit *"
"Programmierung","C++","Was ist RAII?","Verschlüsselung","Resource Acquisition Is Initialization","Netzwerkprotokoll","Algorithmus","B","3","RAII bindet Ressourcen-Lebensdauer an Objekt-Lebensdauer.","cpp,raii,memory","Automatisches Cleanup","Destruktor gibt frei"
"Programmierung","C#","Was ist LINQ?","Datenbank","Language Integrated Query","Netzwerk","Framework","B","2","LINQ ermöglicht SQL-ähnliche Abfragen in C#.","csharp,linq,query","from x in list where...","Typ-sicher"
"Programmierung","C#","Was sind Properties?","Variablen","Smart Fields mit get/set","Methoden","Klassen","B","1","Properties kapseln Felder mit Zugriffsmethoden.","csharp,properties,oop","public int Age { get; set; }","Automatische Properties"
"Datenbanken","MongoDB","Was ist MongoDB?","SQL-Datenbank","NoSQL Dokument-DB","Graph-DB","Key-Value Store","B","1","MongoDB speichert Daten als BSON-Dokumente.","mongodb,nosql,database","Schemaflexibel","Collections statt Tabellen"
"Datenbanken","Redis","Was ist Redis?","SQL-DB","In-Memory Key-Value Store","File-System","Web-Server","B","2","Redis = schneller In-Memory Datenspeicher.","redis,cache,nosql","Oft als Cache genutzt","Unterstützt komplexe Datentypen"
"Datenbanken","PostgreSQL","Was ist ein View?","Tabelle","Virtuelle Tabelle","Index","Trigger","B","1","View ist gespeicherte Abfrage als virtuelle Tabelle.","postgresql,view,sql","CREATE VIEW name AS SELECT...","Vereinfacht komplexe Queries"
"Datenbanken","MySQL","Was ist InnoDB?","Programmiersprache","Storage Engine","Backup-Tool","Index-Typ","B","2","InnoDB ist ACID-konforme Storage Engine für MySQL.","mysql,innodb,engine","Standard seit MySQL 5.5","Unterstützt Transaktionen"
"Datenbanken","Cassandra","Was ist Cassandra optimiert für?","Kleine Datenmengen","Massive Skalierung","Single Server","Transaktionen","B","2","Cassandra ist für hohe Schreiblast und Skalierung designed.","cassandra,nosql,scale","Eventually Consistent","Ring-Architektur"
"Web","HTML5","Was ist der Unterschied zwischen div und section?","Kein Unterschied","section ist semantisch","div ist neuer","section ist schneller","B","1","section hat semantische Bedeutung für Dokumentstruktur.","html5,semantic,web","section für thematische Gruppierung","div für Layout ohne Bedeutung"
"Web","CSS","Was ist Flexbox?","JavaScript-Framework","CSS Layout-Modul","HTML-Element","Datenbank","B","1","Flexbox ermöglicht flexible eindimensionale Layouts.","css,flexbox,layout","display: flex","Hauptachse und Querachse"
"Web","CSS","Was ist CSS Grid?","1D Layout","2D Layout System","JavaScript","Animation","B","2","CSS Grid ermöglicht zweidimensionale Layouts.","css,grid,layout","display: grid","Rows und Columns"
"Web","React","Was sind Hooks?","HTML-Elemente","Funktionen für State in Function Components","CSS-Klassen","Datenbanken","B","2","Hooks ermöglichen State in funktionalen Komponenten.","react,hooks,javascript","useState, useEffect","Seit React 16.8"
"Web","Vue","Was ist der Unterschied zwischen v-if und v-show?","Kein Unterschied","v-if rendert bedingt, v-show toggled display","v-show ist schneller","v-if ist neuer","B","2","v-if removed/added DOM, v-show nur CSS display.","vue,directive,conditional","v-if für seltene Toggles","v-show für häufige Toggles"
